Date,Product,Category,Region,Quantity,Price,Revenue
2026-01-01,Phone,Electronics,East,1,22000,22000
2026-01-02,Headphones,Electronics,South,4,3000,12000
2026-01-03,Phone,Electronics,North,11,22000,242000
2026-01-04,Watch,Accessories,North,1,4000,4000
2026-01-05,Phone,Electronics,South,4,22000,88000
2026-01-06,Laptop,Electronics,South,9,55000,495000
2026-01-07,Watch,Accessories,West,4,4000,16000
2026-01-08,Shoes,Fashion,North,13,2500,32500
2026-01-09,Tablet,Electronics,West,12,18000,216000
2026-01-10,T-shirt,Fashion,South,5,800,4000
2026-01-11,Headphones,Electronics,East,13,3000,39000
2026-01-12,Phone,Electronics,West,2,22000,44000
2026-01-13,Phone,Electronics,East,6,22000,132000
2026-01-14,Shoes,Fashion,North,13,2500,32500
2026-01-15,Backpack,Accessories,North,9,1500,13500
2026-01-16,Watch,Accessories,East,2,4000,8000
2026-01-17,T-shirt,Fashion,South,10,800,8000
2026-01-18,Phone,Electronics,South,1,22000,22000
2026-01-19,Shoes,Fashion,South,2,2500,5000
2026-01-20,Phone,Electronics,East,7,22000,154000
2026-01-21,Backpack,Accessories,East,11,1500,16500
2026-01-22,Tablet,Electronics,East,6,18000,108000
2026-01-23,Headphones,Electronics,East,11,3000,33000
2026-01-24,Phone,Electronics,South,10,22000,220000
2026-01-25,Headphones,Electronics,West,3,3000,9000
2026-01-26,Watch,Accessories,South,5,4000,20000
2026-01-27,T-shirt,Fashion,North,14,800,11200
2026-01-28,Headphones,Electronics,North,14,3000,42000
2026-01-29,T-shirt,Fashion,East,7,800,5600
2026-01-30,Phone,Electronics,East,4,22000,88000
2026-01-31,Headphones,Electronics,West,11,3000,33000
2026-02-01,Watch,Accessories,West,15,4000,60000
2026-02-02,Tablet,Electronics,South,5,18000,90000
2026-02-03,Headphones,Electronics,East,12,3000,36000
2026-02-04,Watch,Accessories,West,15,4000,60000
2026-02-05,T-shirt,Fashion,South,4,800,3200
2026-02-06,Backpack,Accessories,North,2,1500,3000
2026-02-07,Phone,Electronics,South,3,22000,66000
2026-02-08,Watch,Accessories,North,10,4000,40000
2026-02-09,Watch,Accessories,West,7,4000,28000
2026-02-10,Shoes,Fashion,North,9,2500,22500
2026-02-11,Phone,Electronics,East,11,22000,242000
2026-02-12,T-shirt,Fashion,East,2,800,1600
2026-02-13,Watch,Accessories,West,3,4000,12000
2026-02-14,Laptop,Electronics,East,12,55000,660000
2026-02-15,Tablet,Electronics,North,9,18000,162000
2026-02-16,Shoes,Fashion,South,14,2500,35000
2026-02-17,Tablet,Electronics,South,6,18000,108000
2026-02-18,Laptop,Electronics,East,10,55000,550000
2026-02-19,Backpack,Accessories,North,1,1500,1500
2026-02-20,T-shirt,Fashion,East,15,800,12000
2026-02-21,Headphones,Electronics,South,1,3000,3000
2026-02-22,Phone,Electronics,West,2,22000,44000
2026-02-23,Phone,Electronics,South,13,22000,286000
2026-02-24,Tablet,Electronics,West,11,18000,198000
2026-02-25,Tablet,Electronics,West,5,18000,90000
2026-02-26,Headphones,Electronics,South,15,3000,45000
2026-02-27,Shoes,Fashion,East,7,2500,17500
2026-02-28,Backpack,Accessories,West,15,1500,22500
2026-03-01,Phone,Electronics,South,4,22000,88000
